h3_cell,center_lat,center_lng
882a1005a5fffff,40.694727907716356,-73.77195829693612
882a1005a7fffff,40.68686464493529,-73.76954928808944
882a1005a9fffff,40.697850233193115,-73.75283050826921
882a1005abfffff,40.68998632447475,-73.75042457937303
882a1005adfffff,40.70022152725402,-73.76359872090218
882a1005b1fffff,40.674260734691266,-73.74561515160187
882a1005b3fffff,40.66639905409203,-73.74321165192586
882a1005b5fffff,40.676631883280805,-73.75637752946245
882a1005b7fffff,40.668770153747765,-73.75397208618487
882a1005b9fffff,40.67975105340018,-73.73725632228448
882a1005bbfffff,40.67188867901854,-73.73485395728811
882a1005bdfffff,40.68212315822979,-73.74801946061746
882a1005c5fffff,40.71432664221409,-73.7277381120318
882a1005c7fffff,40.706460652955,-73.72533559156255
882a1005e1fffff,40.71120797787675,-73.74687387706078
882a1005e3fffff,40.7033426331813,-73.7444682733469
882a1005e5fffff,40.713580277116925,-73.75764479808738
882a1005e7fffff,40.70571488415166,-73.75523724770694
882a1005e9fffff,40.7167008078967,-73.73850860867427
882a1005ebfffff,40.70883476969916,-73.7361041413641
882a1005edfffff,40.71907406456742,-73.74928029145617
882a100881fffff,40.797822957309734,-73.97475203687152
882a100883fffff,40.789953046698166,-73.97230333019724
882a100887fffff,40.79230724465316,-73.98310565091663
882a100889fffff,40.803338411084496,-73.96639651391816
882a10088bfffff,40.795467802575054,-73.96394893647735
882a100891fffff,40.779728795481134,-73.95905625713571
882a100893fffff,40.771860397370624,-73.95661115441824
882a100895fffff,40.782083872660436,-73.96985544909508
882a100897fffff,40.77421543543356,-73.96740839315652
882a100899fffff,40.78524189681172,-73.9507022139589
882a10089bfffff,40.77737280100291,-73.94825824039015
882a10089dfffff,40.78759793062822,-73.96150218435268
882a1008a7fffff,40.79149500102476,-74.01306395755249
882a1008b1fffff,40.77892275953245,-73.98900639326243
882a1008b3fffff,40.771054982011556,-73.98655625625548
882a1008b7fffff,40.77340722931203,-73.99735506320562
882a1008b9fffff,40.78443803217255,-73.98065581569266
882a1008bbfffff,40.77656955627686,-73.97820680629646
882a1008bdfffff,40.7867912736493,-73.99145735635248
882a1008c1fffff,40.81672564793098,-73.96048635474924
882a1008c3fffff,40.80885360544282,-73.95803908175758
882a1008c9fffff,40.82224127975792,-73.95212588222418
882a1008cbfffff,40.81436853984995,-73.94967974009114
882a1008d1fffff,40.79862526917925,-73.94478993105159
882a1008d3fffff,40.79075473889112,-73.94234626332813
882a1008d5fffff,40.80098229926871,-73.95559263423436
882a1008d7fffff,40.79311172964596,-73.95314701177094
882a1008d9fffff,40.80413854869355,-73.9364309418966
882a1008dbfffff,40.79626732118498,-73.93398840494557
882a1008ddfffff,40.80649653624459,-73.9472344231698
882a100a11fffff,40.873448602965105,-73.91762123660165
882a100a13fffff,40.86557017216256,-73.91517828481871
882a100a15fffff,40.87581066130864,-73.92843958162587
882a100a17fffff,40.86793219141573,-73.92599466896426
882a100a19fffff,40.878964750411974,-73.90924589019862
882a100a1bfffff,40.87108562363093,-73.90680407416399
882a100a1dfffff,40.88132776905939,-73.92006501394336
882a100a4bfffff,40.908124511442004,-73.90819562013435
882a100a51fffff,40.89236119101144,-73.90331013409622
882a100a53fffff,40.88448063321968,-73.9008686294569
882a100a55fffff,40.894725209574204,-73.91413199857669
882a100a57fffff,40.886844612472615,-73.91168853153299
882a100a59fffff,40.897877504138854,-73.8949298213347
882a100a5bfffff,40.88999625085141,-73.89248945407833
882a100a81fffff,40.836425667265026,-73.91622327239955
882a100a83fffff,40.82855087627298,-73.91378248473355
882a100a85fffff,40.83878660877817,-73.92703300051946
882a100a87fffff,40.83091177801377,-73.92459025507257
882a100a89fffff,40.84193929388881,-73.90785437873005
882a100a8bfffff,40.83406380663561,-73.905414725091
882a100a8dfffff,40.844301194513214,-73.91866488424684
882a100a91fffff,40.818315041812575,-73.90053788794832
882a100a93fffff,40.810441764717446,-73.8981007036288
882a100a95fffff,40.82067682177467,-73.91134252084045
882a100a97fffff,40.81280350400749,-73.90890338031213
882a100a99fffff,40.823826317158066,-73.89217048634661
882a100a9bfffff,40.81595234400097,-73.88973443596365
882a100a9dfffff,40.8261890558644,-73.90297589496645
882a100aa1fffff,40.835630824012604,-73.94620933516283
882a100aa3fffff,40.827756650865,-73.94376349920987
882a100aa7fffff,40.83011475573098,-73.95457284997781
882a100aa9fffff,40.84114663080507,-73.9378439088746
882a100aabfffff,40.8332717607169,-73.93539920540775
882a100aadfffff,40.843505732975906,-73.94865599688833
882a100ab1fffff,40.81752422890384,-73.93051227338314
882a100ab3fffff,40.80965156765415,-73.92807004400815
882a100ab5fffff,40.819883213770915,-73.94131848862034
882a100ab7fffff,40.812010512967944,-73.93887430298544
882a100ab9fffff,40.82303768351726,-73.92214833406508
882a100abbfffff,40.815164325526204,-73.91970723708859
882a100abdfffff,40.82539762667059,-73.93295532704686
882a100ac1fffff,40.85532957686145,-73.90192291635687
882a100ac3fffff,40.84745265734937,-73.89948357376652
882a100ac5fffff,40.857692476890215,-73.91273615818517
882a100ac7fffff,40.849815517386276,-73.91029485629191
882a100ac9fffff,40.86084337240267,-73.89354906414414
882a100acbfffff,40.8529657571109,-73.89111085721159
882a100acdfffff,40.863207232368005,-73.90436308301975
882a100ad1fffff,40.83721273542622,-73.88623691315279
882a100ad3fffff,40.82933732950864,-73.88380117521034
882a100ad5fffff,40.83957647406968,-73.89704505484018
882a100ad7fffff,40.83170102726007,-73.89460735916954
882a100ad9fffff,40.84272417982722,-73.87786455661951
882a100adbfffff,40.8348480783289,-73.87542995424305
882a100addfffff,40.8450888780395,-73.88867347368388
882a100ae1fffff,40.8545384781595,-73.93192096636658
